,ID,Name,BV,SV,Team,1_Pts,1_xMins,2_Pts,2_xMins,3_Pts,3_xMins,4_Pts,4_xMins,5_Pts,5_xMins,6_Pts,6_xMins,7_Pts,7_xMins,8_Pts,8_xMins,9_Pts,9_xMins
507,508,Sinisterra,6.5,6.5,Leeds,0.0,49.71,1.14,53.75,1.28,54.21,1.26,40.56,2.63,46.15,3.26,67.1,3.92,63.74,0.0,63.0,3.37,63.0
508,509,Downes,4.4,4.4,West Ham,0.31,16.66,0.4,15.0,0.32,12.0,0.24,10.0,0.17,7.0,0.12,6.0,0.18,7.0,,0.0,0.13,5.0
509,510,Hickey,5.0,5.0,Brentford,2.11,90.0,2.12,90.0,2.58,90.0,3.18,90.0,2.35,90.0,2.78,90.0,2.3,90.0,1.95,90.0,3.02,90.0
510,511,Richards,4.4,4.4,Nott'm Forest,0.12,90.0,0.14,90.0,0.2,90.0,0.15,90.0,1.16,90.0,0.25,90.0,,90.0,,90.0,,90.0
511,512,Aribo,5.4,5.4,Southampton,1.91,42.82,2.29,49.0,1.85,45.0,2.29,52.0,2.48,63.92,1.7,52.55,2.52,58.5,2.21,58.5,2.36,54.5
512,513,Lenglet,4.8,4.8,Spurs,3.53,90.0,0.44,90.0,1.52,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,1.86,90.0
513,514,C.Doucouré,5.0,5.0,Crystal Palace,2.02,65.81,1.58,70.0,2.68,73.92,1.49,75.5,2.6,77.0,2.31,78.5,2.71,81.0,0.0,81.0,2.44,81.0
514,515,Lewis-Potter,5.3,5.3,Brentford,1.43,42.01,1.96,44.1,1.01,33.79,1.18,34.25,1.51,37.0,2.18,44.0,2.26,49.0,2.18,49.0,0.0,28.18
515,516,Collins,4.5,4.5,Wolves,2.3,90.0,3.2,90.0,1.63,90.0,3.15,90.0,3.57,90.0,3.49,90.0,1.4,90.0,1.55,90.0,,90.0
516,517,Strakosha,4.4,4.4,Brentford,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
517,518,Hennessey,3.9,3.9,Nott'm Forest,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
518,519,Eriksen,6.3,6.3,Man Utd,1.29,35.24,2.6,49.61,2.27,54.0,2.98,60.0,3.13,61.15,3.04,64.0,3.13,67.5,0.0,67.5,2.0,67.5
519,520,Koulibaly,5.5,5.5,Chelsea,3.71,90.0,3.02,90.0,3.82,90.0,0.0,90.0,3.55,90.0,3.67,90.0,3.17,90.0,0.0,90.0,2.93,90.0
520,521,Francois,4.4,4.4,Fulham,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
521,522,Spence,4.2,4.2,Spurs,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
522,523,Toffolo,4.4,4.4,Nott'm Forest,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
523,524,O'Brien,4.9,4.9,Nott'm Forest,1.91,67.62,2.22,68.6,2.26,73.92,2.23,75.0,1.41,75.0,2.75,76.0,1.5,64.1,2.39,69.0,1.66,61.84
524,525,Augustinsson,4.3,4.3,Aston Villa,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
525,526,Mee,4.5,4.5,Brentford,2.55,90.0,2.54,90.0,2.9,90.0,3.77,90.0,2.84,90.0,3.45,90.0,2.88,90.0,2.34,90.0,3.67,90.0
526,527,Lingard,5.6,5.6,Nott'm Forest,3.03,74.55,3.77,77.93,3.66,80.0,3.65,80.0,2.25,78.0,4.1,74.0,3.29,71.0,3.73,71.0,1.97,60.69
527,528,Mara,5.4,5.4,Southampton,0.78,17.64,0.55,13.62,1.06,21.0,1.32,24.0,1.15,24.0,0.74,18.77,1.03,18.0,,0.0,1.14,20.0
528,529,Scamacca,6.7,6.7,West Ham,0.0,19.02,2.53,40.92,2.18,38.0,1.81,38.31,2.5,49.0,1.28,42.32,2.05,37.0,1.85,37.0,1.83,34.0
529,530,Richards,4.4,4.4,Crystal Palace,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
530,531,Vinagre,4.3,4.3,Everton,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
531,532,Mbabu,4.4,4.4,Fulham,0.99,90.0,1.39,90.0,1.48,90.0,0.77,90.0,1.68,90.0,0.93,90.0,1.15,90.0,,90.0,,90.0
532,533,Martínez,4.5,4.5,Man Utd,1.23,90.0,2.79,90.0,1.41,90.0,2.88,90.0,2.63,90.0,2.39,90.0,2.75,90.0,0.0,90.0,1.42,90.0
533,534,McNeil,5.2,5.2,Everton,1.16,54.38,2.25,63.7,2.83,63.5,1.56,50.39,2.22,59.0,1.95,64.0,1.39,54.81,2.29,58.0,1.13,39.63
534,535,Tavernier,4.9,4.9,Bournemouth,1.16,52.19,1.62,71.15,2.63,72.92,1.84,74.0,2.88,75.2,2.89,77.0,2.89,78.1,2.54,78.1,3.0,78.5
535,536,Mangala,4.9,4.9,Nott'm Forest,,0.0,,0.0,,0.0,1.72,55.0,0.7,50.41,1.15,46.61,,0.0,,0.0,0.78,32.84
536,537,Kesler Hayden,4.0,4.0,Aston Villa,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
537,538,Young,4.4,4.4,Aston Villa,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
538,539,Hill,4.4,4.4,Bournemouth,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
539,540,Stevens,4.0,4.0,Brentford,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
540,541,Dervişoğlu,4.5,4.5,Brentford,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
541,542,Scherpen,4.0,4.0,Brighton,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
542,543,Clarke,4.0,4.0,Brighton,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
543,544,Van Hecke,4.0,4.0,Brighton,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
544,545,Emerson,4.0,4.0,West Ham,,90.0,,90.0,,90.0,,90.0,1.72,90.0,1.46,90.0,2.08,90.0,,90.0,,90.0
545,546,Harris,4.4,4.4,Fulham,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
546,547,Drameh,4.0,4.0,Leeds,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
547,548,Iversen,3.9,3.9,Leicester,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
548,549,Praet,4.9,4.9,Leicester,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
549,550,Amad,4.4,4.4,Man Utd,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
550,551,Iqbal,4.3,4.3,Man Utd,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
551,552,Anderson,4.5,4.5,Newcastle,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
552,553,Hammond,4.4,4.4,Nott'm Forest,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
553,554,Bryan,5.0,5.0,Spurs,,0.0,,0.0,,0.0,0.05,1.0,0.04,1.0,0.0,0.75,,0.0,,0.0,,0.0
554,555,Ashby,4.0,4.0,West Ham,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
555,556,Coventry,4.4,4.4,West Ham,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
556,557,Smith,4.0,4.0,Wolves,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
557,558,Bueno,4.0,4.0,Wolves,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
558,559,Colwill,4.4,4.4,Brighton,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
559,560,Mills,4.4,4.4,Everton,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
560,561,Warrington,4.4,4.4,Everton,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
561,562,Solomon,4.9,4.9,Fulham,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
562,563,Chambers,4.0,4.0,Liverpool,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
563,564,Bajcetic,4.5,4.5,Liverpool,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
564,565,Gray,4.5,4.5,Leeds,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
565,566,Hodge,4.4,4.4,Wolves,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
566,567,Ronan,4.4,4.4,Wolves,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
567,568,Campbell,4.4,4.4,Wolves,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
568,569,Garnacho,4.4,4.4,Man Utd,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
569,570,Garner,4.5,4.5,Everton,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
570,571,Randolph,4.0,4.0,West Ham,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
571,572,Oko-Flex,4.4,4.4,West Ham,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
572,573,Lewis,3.9,3.9,Man City,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
573,574,Neto,4.5,4.5,Bournemouth,,90.0,,90.0,,90.0,,90.0,,90.0,1.59,90.0,,90.0,3.07,90.0,3.37,90.0
574,575,Cornet,5.9,5.9,West Ham,0.78,34.8,2.5,45.0,1.39,36.56,1.78,36.0,1.68,28.38,0.96,23.4,1.18,22.0,1.07,22.0,1.51,27.0
575,576,Senesi,4.5,4.5,Bournemouth,,90.0,0.75,90.0,1.41,90.0,,90.0,2.55,90.0,,90.0,,90.0,,90.0,,90.0
576,577,Onana,4.9,4.9,Everton,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,2.29,72.0,2.2,74.0
577,578,Robles,4.0,4.0,Leeds,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
578,579,Guedes,6.0,6.0,Wolves,,0.0,1.56,57.4,2.33,68.95,3.95,73.31,4.29,75.5,4.51,75.5,2.51,71.5,2.75,71.5,3.25,70.5
579,580,Damsgaard,5.3,5.3,Brentford,,0.0,0.79,39.72,0.71,33.99,0.57,31.7,0.96,36.94,1.53,38.0,,0.0,,0.0,1.44,35.0
580,581,Smithies,4.0,4.0,Leicester,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
581,582,Freuler,5.0,5.0,Nott'm Forest,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1.71,65.0
582,583,Kouyaté,4.5,4.5,Nott'm Forest,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
583,584,Clark,4.5,4.5,Liverpool,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
584,585,Dennis,5.8,5.8,Nott'm Forest,,0.0,,0.0,1.08,25.0,1.0,23.0,0.98,28.06,1.57,29.0,,0.0,,0.0,0.92,21.0
585,586,Estupiñán,4.5,4.5,Brighton,,90.0,,90.0,,90.0,,90.0,2.83,90.0,3.67,90.0,3.4,90.0,0.0,90.0,1.4,90.0
586,587,Sergio Gómez,4.5,4.5,Man City,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
587,588,Kehrer,4.5,4.5,West Ham,,90.0,,90.0,,90.0,,90.0,2.02,90.0,,90.0,,90.0,,90.0,,90.0
588,589,Matheus,5.0,5.0,Wolves,,0.0,,0.0,0.79,63.4,2.66,80.0,2.86,81.5,3.12,82.0,2.02,83.4,2.21,83.4,2.59,84.1
589,590,Whitworth,4.0,4.0,Crystal Palace,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0,,90.0
