id,gw,xPts,xMins,Pts,f_error
37,6,2.53,82.14,2.0,0.5299999999999998
37,8,3.18,71.29,3.0,0.18000000000000016
37,9,3.22,80.4,3.0,0.2200000000000002
38,10,0.0,0.0,0.0,0.0
38,1,0.0,0.0,0.0,0.0
38,2,0.0,0.0,0.0,0.0
38,3,2.9,1.84,0.0,2.9
38,4,0.0,0.0,0.0,0.0
38,5,0.0,0.0,0.0,0.0
38,6,0.0,0.0,0.0,0.0
38,8,0.0,0.0,0.0,0.0
38,9,0.0,0.0,0.0,0.0
39,10,3.52,81.5,2.0,1.52
39,1,3.4,31.68,0.0,3.4
39,2,3.73,20.37,2.0,1.73
39,3,3.23,83.89,1.0,2.23
39,4,3.34,83.89,0.0,3.34
39,5,2.32,66.36,1.0,1.3199999999999998
39,6,2.12,81.5,2.0,0.1200000000000001
39,8,3.59,83.02,9.0,-5.41
39,9,3.0,81.5,6.0,-3.0
40,10,4.27,75.15,2.0,2.2699999999999996
40,1,4.27,72.07,1.0,3.2699999999999996
40,2,4.21,67.79,11.0,-6.79
40,3,3.62,75.15,6.0,-2.38
40,4,4.13,73.02,2.0,2.13
40,5,3.27,73.02,2.0,1.27
40,6,3.02,73.02,2.0,1.02
40,8,4.32,39.5,2.0,2.3200000000000003
40,9,4.48,75.15,2.0,2.4800000000000004
41,10,1.32,1.05,0.0,1.32
41,1,1.48,7.89,0.0,1.48
41,2,1.51,7.89,0.0,1.51
41,3,1.42,6.32,0.0,1.42
41,4,1.46,6.32,0.0,1.46
41,5,1.37,6.32,0.0,1.37
41,6,1.3,5.26,0.0,1.3
41,8,1.34,1.05,0.0,1.34
41,9,1.31,1.05,0.0,1.31
42,10,2.97,48.94,2.0,0.9700000000000002
42,1,2.45,32.0,1.0,1.4500000000000002
42,2,2.53,32.0,8.0,-5.470000000000001
42,3,2.48,43.5,2.0,0.48
42,4,2.77,45.21,1.0,1.77
42,5,2.27,45.21,2.0,0.27
42,6,2.19,46.95,1.0,1.19
42,8,3.1,45.44,1.0,2.1
42,9,2.78,42.82,1.0,1.7799999999999998
43,10,3.67,80.64,2.0,1.67
43,1,3.8,82.14,1.0,2.8
43,2,4.16,82.14,2.0,2.16
43,3,3.27,69.02,1.0,2.27
43,4,3.61,84.55,1.0,2.61
43,5,2.54,84.55,1.0,1.54
43,6,2.29,84.55,0.0,2.29
43,8,3.78,60.07,0.0,3.78
43,9,0.0,0.0,0.0,0.0
44,10,3.46,80.64,1.0,2.46
44,1,3.41,60.83,1.0,2.41
44,2,3.78,74.74,1.0,2.78
44,3,3.17,81.71,1.0,2.17
44,4,3.29,76.36,2.0,1.29
44,5,2.35,82.58,0.0,2.35
44,6,2.01,70.55,2.0,0.009999999999999787
44,8,3.57,82.14,7.0,-3.43
44,9,2.96,80.64,6.0,-3.04
45,10,2.39,25.26,0.0,2.39
45,1,3.44,59.99,2.0,1.44
45,2,3.57,59.99,1.0,2.57
45,3,2.31,41.0,5.0,-2.69
45,4,2.96,51.5,1.0,1.96
45,5,2.4,51.5,2.0,0.3999999999999999
45,6,2.18,48.07,8.0,-5.82
45,8,3.88,64.67,3.0,0.8799999999999999
45,9,3.36,59.42,2.0,1.3599999999999999
46,10,2.88,78.24,2.0,0.8799999999999999
46,1,2.37,52.26,0.0,2.37
46,2,2.45,52.26,0.0,2.45
46,3,1.93,34.21,1.0,0.9299999999999999
46,4,1.77,27.0,3.0,-1.23
46,5,1.59,27.0,7.0,-5.41
46,6,1.56,27.0,2.0,-0.43999999999999995
46,8,1.93,29.47,1.0,0.9299999999999999
46,9,2.8,76.5,4.0,-1.2000000000000002
